station_code,areas,region
325,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA
326,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA
327,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA
328,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA
329,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA
330,"PEHLAR DAM ON PEHLAR RIVER INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA
336,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA
337,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA
338,"SURYA RIVER AT INTAKE OF VASAI-VIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA
339,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA
1068,"SAL AT ORLIM BRIDGE, ORLIM",GOA
340,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA
341,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA
342,ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA
343,"VAITARNaN RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA
351,"BHIMA AT PUNE U/S VITHALWADI, MAHARASHTRA",MAHARASHTRA
352,"BHIMA RIVER AT KOREGAON NEAR KOREGAON BRIDGE, SHIRUR, PUNE",MAHARASHTRA
353,"BHIMA RIVER-BACKWATER OF UJANI DAM NEAR RAW WATER PUMP HOUSE, KUMBARGAON, INDAPUR, PUNE",MAHARASHTRA
354,"BHIMA AT PUNE, D/S OF BUNDGARDEN,MAHARASHTRA",MAHARASHTRA
355,BHIMA AT PARGAON (AFTER CONFL.WITH MULE MARTHA) MAHARASHTRA.,MAHARASHTRA
356,"BHIMA AFTER CONF. WITH DAUNT, MAHARASHTRA",MAHARASHTRA
357,"BHIMA AT NaNRSINGHPUR,(D/S AF.CONFL.WITH R.NIRA),MAHARASHTRA",MAHARASHTRA
358,"BHIMA AT TAKLI, MAHARASHTRA",MAHARASHTRA
359,"BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE,KARNaNTAKA",KARNaNTAKA
360,"BHIMA AT FEROZABAD VILLAGE (D/S), KARNaNTAKA",KARNaNTAKA
361,"BHIMA AT D/S OF BDG. NEAR YADGIR,KARNaNTAKA",KARNaNTAKA
362,BHIMA RIVER AT CONFLUENCE OF JEWARGI TOWN SEWAGE DISPOSAL POINT,KARNaNTAKA
363,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANaNL JOINS, GOA",GOA
364,ZUARI AT PANCHAWADI,GOA
365,RIVER ZUARI AT BORIM BRIDGE,GOA
366,RIVER ZUARI AT MARCAIM JETTY,GOA
367,"MANDOVI AT NEGHBOURHOOD OF PANaNJI, GOA",GOA
368,"MANDOVI AT TONCA, MARCELA, GOA",GOA
369,RIVER MANDOVI AT AMONaN BRIDGE,GOA
370,RIVER MANDOVI AT IFFI JETTY,GOA
371,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA
372,"RIVER KALNaN AT CHANDEL- PERNEM, GOA",GOA
373,"RIVER ASSONORA AT ASSONORA, GOA",GOA
374,"RIVER BICHOLIM VARAZAN NaNGAR , BICHOLIM",GOA
375,"RIVER CHAPORA NEAR ALORNaN FORT ,PERNEM",GOA
376,RIVER CHAPORA AT SIOLIM,GOA
377,"RIVER KHANDEPAR AT OPA - PONDA, GOA",GOA
378,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA
379,"RIVER KUSHAWATI NEAR BUND AT KEVONaN,RIVON,SANGUEM",GOA
380,"RIVER MADAI AT DABOS -��VALPOI, GOA",GOA
381,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSA-PANaNJI,GOA
382,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAO- CANaNCONaN NaNTIONaNL HIGHWAY)",GOA
383,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA
384,"RIVER SAL AT KHAREBAND, MARGAO",GOA
385,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA
386,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA
387,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA
