station_code,dis_oxy,ph,conduct,bod,nit,total_coli
669,6.6,7,14487,0.9,0.3,103
670,6.9,7.5,54,0.6,0,1633
671,5.5,7.6,569,1.3,0.9,141
672,5.4,7.8,310,0.8,2.4,107
673,7.1,7.8,516,0.7,0.5,1238
674,6.9,8,505,0.9,0.7,1563
675,7.3,7.3,109,2.4,3.4,65
676,7.5,7.5,83,2.1,2,74
677,6.4,7.2,102,1,0,1223
678,6.5,7.1,92,1,0,1342
679,7.7,7.9,232,1.3,0.8,40500
680,7.5,7.8,519,2.1,0.7,53556
681,7.3,7.2,103,0.7,1.7,13810
682,7.4,7.9,196,0.7,0.6,15213
683,7.4,7.8,244,1.9,1,12473
684,7.5,8,243,1.7,0.9,30319
685,7.2,8,296,1.5,0.7,4314
686,6.6,7.8,25034,1.5,0.9,4224
687,7.5,7.9,194,1,1,8559
688,7.4,7.9,170,0.8,0.9,16709
694,6.5,7.4,1063,2,0.6,374
695,6.8,6.6,63,2.9,0.1,36
696,6.6,6.4,101,2.5,0.2,41
697,6.6,6.5,136,2.5,0.2,45
698,6.7,6.9,226,2.2,0.2,38
699,6.7,6.3,72,2.7,0.2,32
700,6.7,6.4,61,4.6,0.1,34
701,6.6,7.2,1300,2.7,0.2,60
702,6.7,7,461,2.5,0.1,51
703,6.6,6.2,69,2.5,0.1,38
704,6.8,6.9,241,2.5,0.1,48
705,6.5,6.6,159,2.4,0.2,41
706,6.6,6.7,170,2.5,0.2,34
707,0.9,7.6,2039,104.5,0.9,511090873
733,7.2,7.5,119,2.3,3.8,74
734,7.2,7.5,120,2.3,4.1,67
735,7.5,7.3,82,1.8,2.8,70
736,7.5,7.5,111,2.4,3,506
737,5.3,3.3,831,7.7,3.2,36
738,7.2,7.2,56,1.7,2.6,42
739,7.5,7.2,66,1.6,2.5,44
740,7.8,7,74,2.3,4.3,108
741,6.7,2.7,1350,3.3,1.1,16
742,7.3,6.6,274,2.5,2.4,386
743,7.4,7.3,67,1.8,2.5,55
744,7.2,7.4,82,2,2.8,61
745,7.3,7.1,55,1.9,2.5,53
746,7.3,7.1,57,2,2.4,50
747,6.6,7.1,114,2.6,2.8,3108
748,7.3,5.6,56,1.8,2.1,34
749,5.1,7,105,3.6,4.7,780
750,7.3,7.1,51,1.6,2.4,40
751,7.7,7.2,50,1.6,2,36
752,7.6,7.3,115,2.1,3.7,528
753,6.2,7,81,2.4,5.1,79
754,7.2,7.1,66,1.9,3.4,63
755,7.4,7.1,57,1.5,2.9,40
756,7.5,7.4,144,1.7,3.5,59
757,7.1,7.1,63,1.9,5.6,48
758,7.3,7.2,65,1.9,3.3,48
759,7.3,7.3,65,2,3,54
760,1.5,6.9,345,33.9,16.9,34251
761,3.9,7.1,233,17,10.5,22223
762,1,7.2,376,57.2,20.3,83554
763,0.9,7.2,506,61.1,19.6,106333
764,7.2,7,66,1.9,3.7,60
765,7.7,7.2,62,1.6,3,59
766,7.3,6.9,61,2.2,2,52
767,1.2,7.1,380,45.7,15.6,94083
768,3.2,7.1,258,23.5,10.3,54083
769,7.2,7.2,124,6.9,4.5,552
770,7.2,7.1,65,2.1,2.4,120
771,7.5,7.3,64,1.9,3.3,42
772,7.6,7.3,65,1.9,3.8,43
774,7.2,7.3,275,1.5,0.1,68
777,6.2,7.8,165,2.1,0,340
778,6.4,7.8,158,4.1,0.5,500
779,6.6,7.9,210,4.2,1.9,572
781,7.3,7.9,693,0.5,1,173
782,5,7.6,1676,1.8,8,174
784,6,7.7,1863,8.6,1,1183
786,5.3,7.8,817,2.8,1,23
788,4.5,8.3,1287,1.5,11,5
790,6.8,8.2,1862,2.5,0.87,64
793,6.7,8.1,2520,7.2,1,41
796,5.6,7.5,41,2,0.08,13410
797,5.5,6.7,209,0.8,0.17,2915
798,5.5,7.1,123,1.5,0.09,6264
799,5.3,7.3,182,1.5,0.08,3080
800,6,7.6,100,1.2,0.17,6086
801,5.7,6.9,111,1,0.14,3061
802,6.4,7.1,140,1.1,0.1,7908
803,6.2,7.8,44,2,0.06,9320
804,6.1,7.6,43,1.8,0.06,9554
805,7,6.9,64,1.1,0.09,2841
806,6.6,6.5,62,1,0.14,7190
807,7,6.8,304,2,0.49,23867
808,7,7,55,1.2,0.66,2813
809,6.3,7.6,213,1.5,0.06,7069
810,6.7,6.8,83,1.2,0.17,3559
811,7.1,6.6,76,1,0.12,3527
812,6.7,6.6,107,1.3,0.22,3757
813,7.2,6.7,89,0.9,0.06,1996
814,4.2,6.7,192,2,0.16,9286
815,6.3,6.6,79,1.6,0.19,6054
816,5.6,7.7,142,1.7,0.14,3644
817,2.8,6.4,424,3.2,0.35,21036
818,5.2,7.1,306,2.6,0.34,1525
819,5.6,7.7,40,1.5,0.07,7130
820,5.5,7.7,40,1.5,0.08,12282
821,6.9,6.7,63,0.9,0.21,1132
822,6.3,7.6,227,1.7,0.08,3612
823,7.1,6.6,68,1.1,0.13,8167
824,6.9,7.7,121,3.3,1,163
825,7.2,8.2,112,3.3,1,94
826,6.9,7.7,103,3.7,0.57,103
827,6.9,7.6,104,3.5,0.75,79
828,6.4,7.4,1003,4.3,2.89,753
