station_code,tempurature,dis_oxy,ph,conduct,bod,nit,coli,total_coli,potable
467,29.1,6.9,8.3,596,2.6,0.3,842,1425,1
468,29,6.8,8.4,575,2.6,0.4,696,1483,1
469,28.3,4.8,7.9,1868,5.6,10.3,21,181,0
470,27,6.8,7.8,648,3.6,5,14,554,0
471,27.3,7,8.1,734,1.3,0.9,820,1460,1
472,31.6,7.3,7.2,46,1.2,1.23,108,413,1
473,30.8,7.1,6.7,48,1.4,0.26,7453,12640,0
474,30.2,7.4,6.9,80,0.8,0,160,329,1
475,29.7,4.1,6.7,141,2,1,4428,7894,0
476,29.1,2.7,6.4,137,2.2,0.77,3207,4719,0
477,31.6,5.9,6.6,110,2.7,1,1666,12638,0
478,30.3,1.3,6.6,350,2.9,0,18857,32714,0
479,31.6,4.9,6.5,148,2.8,1.05,2864,4218,1
481,27.6,6.5,8.6,649,21.8,4,5064,2487,0
482,29.5,7.03,8.1,320,29.5,3.23,783,12400,0
483,28,7.8,8,2225,5.5,2,2568,2448,0
484,29.3,6.4,8,23125,4.8,2,4500,178,0
489,28.3,6.8,8,1870,13,1,4,29,0
490,28.5,7.1,7.5,2100,21,1,4,95,0
499,29,5.9,7.8,1453,7.3,6.45,30,7,0
500,27.8,2.4,8,351,6.6,6.22,24,959,0
501,26,8.3,8.3,270,2.1,3,4,87,1
502,25.7,9.1,8,461,5.5,1.06,7,363,0
503,25,5.8,7.7,872,1.9,12,7,170,1
504,22,7.6,7.5,408,2,1.92,7,55,1
505,22,6.8,7.5,428,2.1,2,13,82,1
506,29.2,7.5,7.4,59,3.1,5,26,364,0
507,27,7.6,7.9,680,6.4,17,8,382,0
508,26.1,8.2,8.3,263,2.3,3,4,97,1
509,26.8,8.2,8.2,277,2.2,2,4,88,1
510,25.4,7.1,8.1,273,2.2,4,4,94,1
511,26.7,7.3,7.9,301,1.8,6.66,3,93,1
512,22.5,4.4,7.7,464,4.4,12,5,260,0
513,22.3,7.3,7.9,502,7.6,2,12,121,0
514,22.5,7.4,7.7,495,5,3,5,200,0
515,22.1,6.9,7.5,448,4.3,2,8,49,0
519,23.8,5.3,8.2,572,1.5,1,7,65,1
520,23.9,4.6,8.4,1463,3.2,1,16,557,0
521,19.9,4.7,8.2,321,1.5,1,12,242,1
522,24.3,5,8.4,583,1.2,1,4,12,1
523,23.2,8.4,8.3,300,1,2,5,21,1
524,21.7,5.7,8,295,1.1,1,5,9,1
525,26.1,4.5,7.9,483,1.5,1,5,15,1
526,24.4,5,8,314,1.9,2,4,7,1
527,30.3,5.1,7.9,266,0.9,1.08,4,7,1
528,21.3,5,8.6,604,1.2,2.29,4,11,1
529,21.2,4.9,8.6,593,1.1,1,4,7,1
530,23.2,4.4,8.1,538,1.2,1,5,14,1
531,22.9,5.6,8.4,591,1.1,3,4,8,1
532,22.9,5.8,8.5,588,1.2,3,4,6,1
533,28.7,4.1,7.9,1133,2.3,2,7,67,1
534,24.3,3.5,8.9,2004,6.5,1,13,248,0
600,25.1,6.7,7.5,85,1.4,1,183,420,1
601,24.6,5.8,7.4,77,1.4,0.8,285,691,1
602,25.7,6.6,7.5,75,1.4,0.7,183,448,1
603,24.8,6.7,7.5,82,1.4,1,161,443,1
604,27.3,6.7,6.9,56,0.9,0.2,82,172,1
605,27.5,6.5,6.7,2240,1.2,0.2,136,304,1
606,25.2,6.3,6.9,73,1.6,0,787,2008,1
607,29.9,7,7.4,130,0.7,0.1,301,590,1
608,29.8,6.6,7.7,191,1.6,0.2,362,661,1
609,27.8,6.9,6.9,134,1.1,0.4,249,531,1
610,26.7,7,7.5,80,0.8,0.4,2573,3583,1
611,25.8,6.7,7.4,14526,0.8,0.6,1411,1969,1
612,26.4,7.2,7.4,82,0.7,0.5,840,1311,1
613,29.8,7.5,7.2,67,1.1,0.1,76,590,1
614,28.6,3,6.6,965,1.7,1.2,247,530,0
615,26.9,5.9,7.4,17990,0.7,0.5,1888,2803,1
616,26,6.7,7.5,90,1.6,0.9,199,473,1
617,23.6,6.1,7.4,4429,2,1.6,243,550,1
618,30.3,6.7,6.9,87,1.7,0.2,155,350,1
619,30.7,6.9,6.8,85,1.6,0.2,82,206,1
620,28.7,2.1,6.8,101,1.6,0.8,431,694,0
621,28.2,2.5,6.9,83,1.9,0.3,353,656,0
622,24.8,7.2,7.6,75,1.4,1,188,426,1
