station_code,region,tempurature,dis_oxy,ph,conduct,bod,nit,coli,total_coli,grade
417,MADHYA PRADESH,23.7,7.4,7.7,403,2.1,0.3,39,127,B
418,MAHARASHTRA,33.8,4.8,8.2,477,10.5,6.7,131,221,F
419,MAHARASHTRA,24.4,5.5,8.2,534,10.1,2.7,103,157,F
420,MAHARASHTRA,24.9,5.1,8.2,523,11.1,2.7,140,222,F
421,MAHARASHTRA,26.3,4.7,8.4,940,15.1,11.5,183,273,F
422,MAHARASHTRA,23.2,4.2,8.4,685,13,8.4,363,420,F
423,MAHARASHTRA,31.6,5.1,8.3,435,9.7,2.5,152,231,F
424,ANDHRA PRADESH,21.6,6.9,7.5,469,0.8,0.5,2,1100,C
426,MAHARASHTRA,27.6,6.5,7.7,1127,5.7,0.3,3,108,D
427,MAHARASHTRA,22.1,5.2,7.9,306,4.5,2.2,47,136,F
