STATION CODE|LOCATIONS|STATE|TEMP|DO|pH|CONDUCTIVITY|BOD|NITRATE_N_NITRITE_N|FECAL_COLIFORM|TOTAL_COLIFORM
135|YAMUNaN , D/S PAONTA SAHIB, H.P|HIMACHAL PRADESH|23.7|7.5|7.8|331.0|1.5|0.2|11.0|21.0
139|YAMUNaN AT KESIGHAT, VRINDAVAN|UTTAR PRADESH|25.0|4.0|7.7|196.0|8.3|0.0|43546.0|73727.0
140|YAMUNaN AT VISHRAMGHAT, MATHURA|UTTAR PRADESH|25.0|3.7|7.5|273.0|9.2|0.0|53546.0|117273.0
141|YAMUNaN AT SHAHPUR|UTTAR PRADESH|25.3|4.5|7.5|281.0|7.0|0.0|34818.0|65000.0
142|YAMUNaN AT ALLAHABAD D/S (BALUA GHAT), U.P|UTTAR PRADESH|24.8|8.1|8.2|522.0|2.4|1.8|2875.0|5975.0
144|YAGACHI RIVER NEAR PUMPING STATION. HASSAN CITY|KARNaNTAKA|27.4|5.4|7.7|394.0|1.0|0.1|913.0|3600.0
145|HEMAVATI AT D/S OF HOLENaNRASIPURA TOWN AT RAMADEVALA WEIR|KARNaNTAKA|27.7|5.8|7.7|298.0|1.0|0.1|1073.0|3533.0
147|SHIMSHA AT D/S OF BRIDGE, HALAGUR, KARNaNTAKA|KARNaNTAKA|26.7|6.3|8.2|573.0|2.9|0.6|716.0|2950.0
148|ARKAVATHI AT D/S OF KANaNKAPURA TOWN, KARNaNTAKA|KARNaNTAKA|27.0|6.9|7.3|1560.0|7.3|9.1|56.0|788.0
149|ARKAVATHI AT T.G. HALLI RESERVOIR, , KARNaNTAKA|KARNaNTAKA|29.4|6.6|7.7|1049.0|4.3|1.3|46.0|1012.0
150|LAKSHMANTIRTHA��AT D/S OF HUNSUR TOWN, KARNaNTAKA|KARNaNTAKA|26.1|4.4|7.8|467.0|3.8|0.5|1099.0|4550.0
151|LAKSHMANTIRTHA��AT D/S OF KATTEMALAVADI, KARNaNTAKA|KARNaNTAKA|26.2|5.7|7.9|370.0|2.2|0.4|430.0|1744.0
152|KABBANI AT MUTHANKARA, KERALA|KERALA|26.9|6.7|7.7|78.0|0.4|0.8|58.0|96.0
