STATION CODE,STATE,District,Lat,Lng
825,Maharashtra,Thane,19.4305,72.9656
826,Maharashtra,Thane,19.4305,72.9656
827,Maharashtra,Thane,19.4305,72.9656
828,Maharashtra,Ratnagiri,16.9800,73.3000
829,Maharashtra,Dhule district,21.0577,74.6869
830,Maharashtra,Raigad Fort,18.2350,73.4478
831,Maharashtra,Ratnagiri,16.9800,73.3000
832,Maharashtra,Raigad Fort,18.2350,73.4478
833,Maharashtra,Raigad Fort,18.2350,73.4478
834,Maharashtra,Ratnagiri,16.9800,73.3000
835,Maharashtra,Ratnagiri,16.9800,73.3000
836,Maharashtra,Raigad Fort,18.2350,73.4478
837,Maharashtra,Raigad Fort,18.2350,73.4478
838,Maharashtra,Raigad Fort,18.2350,73.4478
839,Maharashtra,Raigad Fort,18.2350,73.4478
840,Maharashtra,Raigad Fort,18.2350,73.4478
841,Maharashtra,Raigad Fort,18.2350,73.4478
842,Maharashtra,Raigad Fort,18.2350,73.4478
843,Maharashtra,Pune district,18.6833,74.03
844,Maharashtra,Raigad Fort,18.2350,73.4478
845,Maharashtra,Raigad Fort,18.2350,73.4478
846,Maharashtra,Raigad Fort,18.2350,73.4478
847,Maharashtra,Raigad Fort,18.2350,73.4478
848,Maharashtra,Thane,19.4305,72.9656
849,Maharashtra,Thane,19.4305,72.9656
850,Maharashtra,Thane,19.4305,72.9656
851,Maharashtra,Thane,19.4305,72.9656
852,Maharashtra,Thane,19.4305,72.9656
853,Maharashtra,Thane,19.4305,72.9656
854,Maharashtra,Thane,19.4305,72.9656
855,Maharashtra,Ratnagiri,16.9800,73.3000
856,Maharashtra,Ratnagiri,16.9800,73.3000
857,Maharashtra,Ratnagiri,16.9800,73.3000
858,Kerala,Pathanamthitta,9.2656,76.7853
859,Kerala,Pathanamthitta,9.2656,76.7853
860,Kerala,Pathanamthitta,9.2656,76.7853
861,Kerala,Pathanamthitta,9.2656,76.7853
862,Kerala,Kannur,11.8608,75.4140
863,Kerala,Kannur,11.8608,75.4140
864,Kerala,Pathanamthitta,9.2656,76.7853
865,Kerala,Pathanamthitta,9.2656,76.7853
866,Kerala,Pathanamthitta,9.2656,76.7853
867,Kerala,Thrissur,10.5200,76.2100
868,Kerala,Thrissur,10.5200,76.2100
869,Kerala,Thrissur,10.5200,76.2100
870,Kerala,Thrissur,10.5200,76.2100
871,Kerala,Kasaragod,12.4997,74.9870
872,Kerala,Ernakulam,10.0705,76.6840
873,Kerala,Ernakulam,10.0705,76.6840
874,Kerala,Kollam,8.8800,76.6000
875,Kerala,Kollam,8.8800,76.6000
876,Kerala,Kozhikode,11.2591,75.7820
877,Kerala,Kozhikode,11.2591,75.7820
878,Kerala,Kasaragod,12.4997,74.9870
879,Kerala,Kasaragod,12.4997,74.9870
880,Kerala,Kollam,8.8800,76.6000
881,Kerala,Kozhikode,11.2591,75.7820
882,Kerala,Kozhikode,11.2591,75.7820
883,Kerala,Wayanad,11.6854,76.132
884,Kerala,Kasaragod,12.4997,74.9870
885,Kerala,Thiruvananthapuram,8.4875,76.9525
886,Kerala,Thiruvananthapuram,8.4875,76.9525
887,Kerala,Thrissur,10.5200,76.2100
888,Kerala,Palakkad,10.7925,76.5553
