STATION CODE,Potability
3384.0,1
3380.0,1
1632.0,1
1428.0,0
3369.0,1
3370.0,1
3371.0,1
3372.0,1
3373.0,1
3374.0,1
3375.0,0
3376.0,0
3381.0,1
3382.0,1
3377.0,1
3378.0,1
1631.0,1
3379.0,0
3367.0,0
3368.0,1
1633.0,1
3353.0,1
3354.0,1
3355.0,1
3356.0,1
3350.0,1
3351.0,1
3352.0,1
3359.0,0
3360.0,0
3361.0,0
3362.0,0
3357.0,1
3358.0,1
3363.0,1
3364.0,0
3365.0,0
1427.0,0
3366.0,1
1403.0,1
1404.0,0
1726.0,0
1393.0,0
1150.0,1
1865.0,0
1434.0,0
1980.0,0
1149.0,0
1399.0,1
1475.0,1
3181.0,0
3182.0,1
1400.0,0
1476.0,0
3185.0,1
3186.0,1
3187.0,0
1543.0,1
1548.0,1
2276.0,0
2275.0,1
3189.0,1
1546.0,1
2270.0,1
2272.0,1
1545.0,1
2274.0,0
2271.0,1
2273.0,1
3183.0,0
3184.0,1
3190.0,1
3191.0,1
1547.0,1
3188.0,1
1544.0,0
